item,frequency(N30K600),frequency(N60K1200),frequency(N90K1800),frequency(N120K2400),frequency(N150K3000),frequency(N180K3600),frequency(N210K4200),frequency(N240K4800)
Sporting events,55,40,25,20,20,15,20,20
Where is?,45,10,10,10,30,10,25,5
Election Moments,80,15,15,10,10,15,5,10
Election Questions,105,30,25,25,20,10,5,10
GIFs,45,30,30,30,10,30,25,25
MLS Soccer Teams,45,20,10,5,25,5,15,5
NHL Players,65,45,15,20,10,10,15,15
Olympic Athletes,15,15,5,10,5,5,5,10
Olympic Events,35,35,10,25,10,10,10,25
Olympic Moments,75,45,10,10,45,5,5,5
Soccer Teams (all),75,35,55,35,35,35,15,5
WNBA Players,25,10,10,10,5,10,10,5
Tìm kiếm nổi bật 2016,50,10,10,10,5,5,5,5
Tin trong nước,55,5,20,5,25,5,5,5
Tin quốc tế,120,5,85,5,15,5,5,5
Phim trong và ngoài nước,70,60,25,20,30,25,20,15
Phim Việt Nam,10,5,10,5,5,5,5,5
Công thức- Cách làm,35,15,30,5,5,10,5,5
Tìm kiếm địa điểm gần,45,40,15,15,15,15,10,5
Chương trình truyền hình,45,10,10,5,10,5,10,5
Elections,90,75,40,40,40,35,15,35
Songs/Lyrics,25,20,10,20,15,10,15,15
Qué,170,170,165,65,65,165,60,60
Series y programas de TV,75,30,60,30,35,25,30,30
Overall searches,15,15,15,15,10,15,10,15
Global people,30,25,10,25,10,10,15,25
Why is...?,70,45,45,40,10,40,35,15
Suchbegriffe des Jahres,35,30,25,25,30,25,25,25
Aufreger-Promis,25,15,15,5,10,10,5,5
"""Was...?"" Fragen",55,50,10,40,35,10,15,35
"""Wie...?"" Fragen",55,20,15,10,20,15,10,10
Les recherches « C'est quoi » en progression,15,10,10,5,5,10,5,5
Les recherches « Comment » en progression,35,15,5,10,10,5,30,5
Buscas,55,45,15,45,10,15,15,15
Como fazer?,105,105,10,15,90,10,10,15
O que é?,55,15,15,10,10,15,10,10
Por quê?,30,25,15,25,15,15,15,25
Acontecimentos,30,25,25,20,20,20,20,20
Programas e Séries,65,55,15,55,40,15,40,15
Times da Série A,340,255,55,230,20,40,285,230
Tecnologia,215,210,30,20,15,25,15,15
Популярно търсене,10,10,10,5,5,10,10,5
Спортни събития,65,45,25,35,15,20,25,30
Филми,45,40,20,25,25,20,10,15
How...,75,30,45,15,45,15,15,15
Canadian News,30,30,25,30,25,25,20,25
Why...,85,40,30,40,35,25,35,25
"Películas, Cine y TV",50,20,30,5,5,5,5,5
Cuándo,30,25,25,25,20,20,15,15
Cómo Hacer,60,20,40,15,10,5,10,5
Tendencias 2017,50,50,30,25,25,30,20,20
Acontecimientos del Año,45,25,30,10,15,15,10,10
El año en deportes,45,40,10,15,10,10,10,15
Las preguntas del año,15,10,10,10,10,10,10,10
¿Qué significa?,45,25,20,20,15,20,15,20
Letras de canciones,50,45,50,45,30,45,40,25
Series/Novelas/Películas,60,45,15,10,20,10,15,10
Acontecimientos del año,80,65,80,65,80,65,65,65
Preguntas del año,75,60,60,50,50,55,50,50
Series y Novelas,215,210,10,190,185,10,10,185
Hrvatski najtraženiji pojmovi,70,50,40,15,20,40,10,15
Događanja,25,25,15,20,15,15,15,15
Filmovi,20,20,10,10,20,10,10,10
Trendy roku,30,20,30,20,20,20,20,20
Události roku,30,10,15,10,10,10,20,10
Místní osobnosti,40,35,10,10,5,10,10,5
Loučení,10,5,5,5,5,5,5,5
Jak,15,10,5,5,10,5,5,5
Co,55,30,25,30,5,10,10,30
Kdo,50,20,20,15,10,15,5,10
Recept,55,25,25,20,20,15,15,15
Top trending danskere,100,30,10,10,15,10,5,10
Top trending kultur og underholdning,30,25,10,10,5,5,5,10
Top trending sport,25,10,5,5,5,5,5,5
Top trending spørgsmål,35,25,25,5,5,20,5,5
Top trending søgninger,5,5,5,5,5,5,5,5
Top trending udenlandske personer,20,10,5,10,5,5,5,5
المباريات,125,65,20,65,10,20,20,50
Enim otsitud sõnad ja fraasid,45,20,20,15,5,10,15,15
Enim otsitud telesaated,25,15,15,10,10,5,10,10
Enim otsitud üritused ja tähtpäevad,30,30,5,5,5,5,5,5
Miten/Kuinka...?,70,60,30,30,25,25,10,20
Mikä...?,55,35,20,5,20,20,20,5
Mitä...?,60,30,10,15,10,10,20,10
Les séries TV,30,15,25,10,10,15,15,10
Les paroles de chansons,40,35,20,15,15,15,15,15
Les recettes,35,20,35,15,15,20,15,15
Les personnalités politiques,75,40,20,35,35,20,15,35
Persönlichkeiten,125,80,30,35,35,30,20,30
Sportevents,15,15,15,10,10,15,15,10
TV-Shows,35,35,5,30,15,5,5,25
Was-Fragen,45,40,40,40,35,40,35,40
Warum-Fragen,20,20,10,10,20,10,10,10
Wo-Fragen,30,20,30,20,20,20,25,20
Events / Stories,45,30,25,10,15,10,10,10
Questions,100,60,50,50,50,50,45,50
Sports people,70,55,35,30,25,35,20,20
Ταχυτερα αυξανομενες αναζητησεις,20,10,15,5,5,10,10,5
熱爆本地話題人物,75,45,45,35,45,30,30,20
熱爆國際話題人物,60,55,45,40,20,40,35,20
熱爆本地活動,55,10,20,10,10,10,20,10
熱爆財經話題,20,10,10,5,10,10,5,5
熱爆 Gadget,15,5,5,5,5,5,5,5
A legkeresettebb sportesemények,15,5,5,5,10,5,5,5
Az év eseményei,25,15,10,15,10,10,5,10
Mozifilmek,20,15,10,15,10,10,10,15
Népszerű szórakoztató műsorok,20,15,10,5,5,10,5,5
Entertainers,105,105,95,15,5,95,85,15
Sporting Events,155,95,60,45,110,55,75,45
Cara Menjadi..,100,90,40,10,60,40,5,10
How To...?,65,35,10,10,10,10,40,10
טלויזיה,30,15,5,15,5,5,5,15
「比較」されたトピック,25,15,5,10,5,5,5,5
Japan（世界が検索した Japan ）,30,20,15,10,5,5,10,5
Tokyo（世界が検索した Tokyo ）,25,15,10,15,10,5,5,10
Персона года / Жыл адамы,15,15,5,15,5,5,5,10
Самые популярные запросы / Ең әйгілі сұранымдар,60,30,10,30,25,10,5,10
Фильм года / Жыл фильмі,40,10,15,5,5,5,30,5
Top Trending Searches,60,45,50,25,15,35,15,15
Trending How To,55,50,20,30,5,15,5,15
Trending Sports Personalities,25,20,5,5,15,5,5,5
Trending What Is,65,45,35,45,35,30,40,20
Meklētākās frāzes,20,15,15,5,10,10,10,5
Notikumi,45,30,10,25,15,10,10,25
Populiariausios paieškos,65,20,15,15,25,10,25,15
Filmai,60,45,30,30,20,20,20,20
Renginiai ir įvykiai,25,10,15,5,5,5,10,5
Carian (Searches),25,10,15,10,5,5,5,5
Orang (People),25,15,10,15,10,5,15,10
Berita (News),50,15,15,5,5,15,15,5
Peranti (Devices),145,25,15,20,20,15,10,10
Filem (Movies),20,10,15,5,5,10,5,5
Siri Tempatan,55,15,10,15,15,10,10,10
Eredivisieclubs,75,10,60,10,60,10,10,5
Hoe werkt...?,45,35,10,5,25,5,5,5
Nederlands vrouwenelftal,70,10,30,10,10,5,10,5
Nederlandse politici,25,10,20,10,5,10,10,5
Nederlandse sporters,30,10,20,5,25,10,15,5
Nederlandse YouTubers,35,20,10,10,5,5,5,5
Overledenen,80,15,55,10,5,10,5,5
Wat is...?,35,25,35,25,25,25,35,25
Movies / TV Series,355,45,25,20,15,25,10,10
Hva er..?,60,45,30,30,20,20,20,20
Hvordan..?,75,45,15,40,10,15,5,30
Hvorfor..?,55,45,30,25,5,25,5,5
Norske kvinner,55,20,50,20,15,20,20,15
Norske menn,45,35,30,30,25,30,15,15
Nyheter,30,20,5,15,15,5,10,15
Søk,25,20,20,20,25,20,20,20
Series y Telenovelas,15,5,5,5,5,5,5,5
Artistas musicales,15,5,5,5,10,5,5,5
Songs and Lyrics,215,5,30,5,10,5,185,5
Seriale,35,25,30,15,10,25,15,15
Przepisy na potrawy,40,5,5,5,5,5,5,5
GERAL,40,20,15,15,10,5,5,10
FIGURAS NACIONAIS,100,90,60,10,5,50,40,10
FIGURAS INTERNACIONAIS,35,10,15,5,5,10,10,5
PROGRAMAS TV,75,60,30,55,45,25,10,10
EVENTOS DESPORTIVOS,155,50,105,45,40,5,20,45
O QUE É...?,30,5,10,5,10,5,5,5
Cum...?,45,25,10,15,10,5,5,10
Evenimentele anului,30,20,15,20,15,10,15,15
События и явления,25,20,20,5,10,20,5,5
Рэп-исполнители,40,20,20,15,15,15,5,5
Утраты,60,30,35,30,25,30,30,15
Как начать?,20,15,10,10,5,10,10,10
الأكلات,45,35,15,25,5,10,15,15
Najtraženiji pojmovi u Srbiji,20,20,20,20,20,20,5,20
Događaji,55,45,30,35,30,30,15,15
TV Serije,65,55,10,55,10,5,5,40
"Top Trending ""Near Me"" Searches",65,45,15,20,10,10,5,5
"Top Trending Destinations (""Things to do in"")",20,10,15,5,10,5,5,5
Top Trending Events in Singapore,75,60,35,5,10,35,10,5
Top Trending Gadgets,50,25,25,15,10,15,10,15
Top Trending International News,10,10,10,10,10,10,10,10
Top Trending Local News,35,15,25,15,25,15,15,10
Top Trending Movies,100,10,60,10,60,10,10,10
Top Trending TV Shows,25,15,10,10,10,10,10,10
Trendy roka,55,35,20,20,35,20,25,20
Udalosti roka,65,20,15,5,15,5,20,5
Miestne osobnosti,60,30,5,30,5,5,5,10
Svetové osobnosti,25,15,10,15,5,10,10,10
Ako,40,30,15,10,20,5,10,10
Televízne show a eventy,30,30,25,20,10,25,5,20
Recepty,35,25,30,10,15,25,10,10
Najbolj priljubljena splošna iskanja,45,10,5,5,15,5,5,5
Filmi,65,50,20,45,40,10,15,45
Glasbeniki,65,20,20,15,40,15,20,15
Zabavne televizijske vsebine,70,20,30,20,20,20,50,20
Near Me,90,10,10,5,15,5,5,5
Personalities,80,65,30,60,30,30,30,60
인물 (종합),20,15,10,10,10,10,5,10
인물 (정치인),20,15,10,5,5,5,5,5
인물 (연예인),15,15,5,5,10,5,5,5
국내 뉴스/이슈,15,15,15,15,15,15,15,15
웹툰,140,125,20,5,135,5,5,5
"Cine, TV y Series",25,15,5,10,5,5,5,5
Frågor som börjar med “Hur”,30,25,20,5,15,20,5,5
Frågor som börjar med “Vad”,45,20,30,10,10,20,5,10
"Frågor som börjar med “Varför""",55,45,30,15,10,30,10,5
Frågor som börjar med “Vem”,35,25,10,20,5,5,10,20
Årets mest trendande sökningar 2017,25,15,10,10,15,5,5,5
Festivals & Events,15,5,10,5,5,5,5,5
Internationale Persönlichkeiten,45,25,15,25,10,15,10,20
Menschen die wir vermissen,30,10,10,10,10,5,5,10
Schweizer Persönlichkeiten,35,15,25,15,10,10,10,15
Wie-Fragen,45,40,35,30,30,30,35,30
快速竄升人物（不包含已故者）,30,25,20,20,20,20,20,20
快速竄升政治人物（不包含已故者）,55,35,25,30,30,20,20,20
快速竄升影視名人（不包含已故者）,25,15,10,5,5,5,5,5
คำค้นหาประจำปี,40,15,25,15,15,15,30,15
สถานที่ (ร้านอาหาร),70,10,15,5,5,5,5,5
ประเภทอาหาร,45,10,20,10,5,5,5,10
รายการโทรทัศน์,30,20,10,10,10,10,10,10
How-to,85,35,25,25,15,25,10,20
การซื้อสินค้า,5,5,5,5,5,5,5,5
สถานที่ทั่วไป,130,90,85,10,5,85,5,5
Nedir,25,10,10,10,5,10,5,5
Ünlüler,55,50,20,20,20,15,5,20
Питання: “Навіщо?/Зачем?”,65,65,5,5,5,5,5,5
Питання: “Чому?/Почему?”,25,10,15,10,10,10,15,10
Питання: “Що таке?/Что такое?”,30,20,10,20,25,10,15,10
Питання: “Як?/Как?”,65,45,35,30,25,30,40,20
الأحداث المحلية,25,15,5,5,5,5,5,5
الأخبار,165,160,35,65,40,35,35,60
الأفلام,50,50,45,45,40,45,10,20
الشخصيات,55,35,5,5,20,5,5,5
What Is…?,15,15,10,10,5,10,5,10
News Events,125,65,40,65,45,40,40,50
UK Number 1 Singles,100,90,5,5,5,5,15,5
Activations (protests),20,5,5,5,5,5,10,5
Calories,30,25,5,25,5,5,10,20
Dog Breeds,15,10,5,10,5,5,5,5
Professional Sports Teams,55,40,25,10,10,15,15,10
¿Dónde...?,60,55,40,5,10,40,20,5
Tìm Kiếm Nổi Bật,5,5,5,5,5,5,5,5
Tin Trong Nước,5,5,5,5,5,5,5,5
Tin Quốc Tế,35,30,10,15,10,10,15,10
Ứng Dụng,85,40,15,40,35,15,35,15
Nhân Vật,35,20,30,20,20,20,30,20
Bài Hát,75,70,20,65,15,15,15,65
Phim Truyện,30,15,20,10,10,5,10,10
Chương Trình Truyền Hình,45,45,15,30,5,15,20,10
Lễ Hội,60,45,30,35,5,20,20,20
Búsquedas 2018,75,60,25,60,25,15,30,15
What is…?,40,30,15,30,10,10,15,30
Why is…?,70,60,65,10,5,55,5,10
Themen des Jahres,25,25,5,10,5,5,5,5
Promis & Aufreger Österreich,25,15,15,5,10,5,5,5
ТВ-шоу года,20,10,10,10,20,10,10,10
Zoekopdrachten / Recherches,30,15,30,15,15,15,15,15
Hoe...,30,15,20,10,10,15,10,10
Rode Duivels / Diables Rouges,35,20,10,5,10,5,5,5
Internationale persoonlijkheden / Les personnalités internationales,45,25,30,25,15,25,15,25
Belgische persoonlijkheden / Les personnalités belges,50,15,45,15,45,15,15,15
Séries,120,115,15,95,15,15,85,15
Programas de TV e novelas,20,15,10,10,10,10,5,10
Times da série A,90,25,15,25,10,5,5,25
Mortes,45,25,25,15,15,25,15,15
Virou meme,30,30,20,20,15,20,20,15
Músicas (Letras),40,25,15,5,10,5,5,5
Характерни търсения,30,15,15,15,10,10,10,10
ТВ предавания и риалити формати,295,280,255,15,10,255,10,5
Hechos y Personajes Noticiosos,20,10,10,5,5,10,5,5
Nos dejaron,20,10,5,5,5,5,5,5
"Películas, series, TV",170,170,5,65,5,5,105,5
Tendencias 2018,65,55,40,55,40,35,40,40
Acontecimientos 2018,40,35,25,25,25,25,25,25
"Series, Novelas y TV",35,15,15,15,10,5,10,10
Qué significa,25,10,10,10,5,5,15,10
Personajes del año,60,30,30,25,50,30,30,25
"Series, Novelas y Programas de TV",75,45,35,25,25,25,45,25
Osobe,20,10,20,10,10,10,10,10
České osobnosti,25,25,25,25,15,25,15,25
Zahraniční osobnosti,40,35,30,30,15,25,20,25
Smutná loučení,20,20,20,15,15,20,15,15
Jak?,70,50,45,30,60,40,30,30
Co?,65,35,30,25,25,15,40,25
Kdy?,70,45,25,25,30,25,5,25
Danskere,30,25,20,15,25,15,15,15
Udenlandske personer (nulevende),60,60,30,20,30,30,45,20
Underholdning,45,20,20,15,25,20,15,15
Spørgsmål,65,40,65,40,15,40,15,25
Dem vi sagde farvel til,35,30,20,30,15,15,15,30
Elektronik,45,35,15,5,5,5,5,5
Kõige otsituimad märksõnad Eestis,85,15,85,10,10,15,10,10
Eesti inimesed,70,30,10,5,10,5,5,5
TOP 10 sündmused,20,15,10,10,15,10,10,10
Puheenaiheet,45,35,20,20,15,20,20,20
Pitkä Kuuma Kesä,45,40,15,15,15,15,10,10
Miten?,45,40,30,25,10,25,15,10
Comment devenir...,30,10,25,5,5,5,25,5
La littérature,15,10,10,5,5,10,5,5
La politique,655,645,25,25,635,25,10,25
Les définitions,40,35,20,20,10,20,25,20
Les vedettes,150,115,135,10,5,110,5,5
Les émissions et séries TV,30,25,15,25,5,15,5,5
Pourquoi...,55,45,15,10,10,10,5,5
Allgemeine Suchbegriffe,50,35,25,25,35,25,25,25
Serien,45,30,25,15,25,10,10,10
Ταχύτερα Αυξανόμενες Αναζητήσεις,35,35,20,25,15,20,15,25
Συνταγές,65,30,15,30,15,15,40,15
Jugadores de fútbol,10,10,10,10,5,10,5,10
熱爆體育話題,40,30,30,5,5,30,5,5
熱爆外遊景點,30,10,5,10,5,5,5,10
Sportesemények,150,110,25,20,105,15,15,15
Dalszövegek,35,35,5,15,5,5,5,10
Filmek,30,25,20,20,15,20,10,15
TV műsorok,55,35,10,5,5,5,30,5
Peristiwa Hiburan,10,5,5,5,5,5,5,5
אנשים,30,20,25,20,15,20,20,10
טלוויזיה,90,15,40,5,5,5,15,5
Ricetta,5,5,5,5,5,5,5,5
急上昇ランキング,35,30,35,30,20,30,15,30
平成,50,25,5,25,10,5,10,10
◯◯とは,40,20,20,15,15,15,15,15
◯◯ 仕組み,45,35,15,5,30,15,5,5
Ең әйгілі сұранымдар/Самые популярные запросы,20,15,10,10,10,10,15,10
Жылдың адамы/Персона года,75,55,35,25,10,35,15,10
Жылдың фильмі/Фильм года,15,15,15,15,15,15,15,15
Жылдың сериалы/Сериал года,30,15,30,15,15,15,10,15
Жылдың телешоуы/ТВ-шоу года,65,65,15,55,15,15,5,55
Жылдың сатып алынған заты/Покупка года,70,60,15,10,40,10,10,10
Top Local Personalities,15,10,5,10,5,5,5,5
populārākie vārdi,115,60,80,60,40,50,45,15
visvairāk meklētie sporta notikumi,20,20,15,15,10,15,5,5
Visvairāk meklētie notikumi,40,35,5,5,5,5,5,5
Televizijos serialai,655,645,25,25,5,25,20,25
Carian,55,30,30,30,25,15,20,25
Orang,65,55,30,30,30,30,30,15
Berita & Peristiwa,45,45,20,15,10,20,5,5
Filem,20,20,10,10,10,10,10,10
Muzik,60,25,20,25,25,20,20,15
Nederlanders,55,45,15,20,30,10,10,15
Evenementen,105,75,30,15,45,20,5,10
Internationale Celebrity's,20,20,15,5,5,15,5,5
Nederlandse Overledenen,70,55,25,25,15,10,10,5
Nederlandse Politici,60,10,15,10,5,5,5,5
TV-programma's,55,20,20,15,20,15,15,15
Voetbalclubs,50,15,15,15,5,5,15,10
Global Figures,65,40,35,30,30,20,25,20
Hva er...?,25,15,5,15,5,5,10,10
Najpopularniejsze,45,15,30,5,15,10,5,5
Co to jest...?,30,25,20,20,5,20,15,5
Ile...?,30,20,15,15,5,10,15,5
Notícias,15,10,5,10,10,5,10,10
Nomes Nacionais,15,15,15,15,15,15,15,15
Nomes Internacionais,55,40,25,30,15,25,15,15
Show-uri TV,20,10,15,10,10,10,10,10
Smartphone-uri,65,45,25,35,25,20,20,30
Versuri,25,20,25,20,10,20,10,20
Ce este,70,60,30,40,30,25,35,15
Имена чемпионата мира по футболу,55,25,10,15,25,10,25,5
Как стать?,15,15,5,5,5,5,5,5
الأبحاث الرياضية,35,15,20,15,10,10,10,10
Najpretraživaniji pojmovi u Srbiji,15,15,15,15,15,15,15,15
TV serije,150,40,30,35,30,25,120,30
Top Trending Sporting News,20,5,10,5,20,5,5,5
Top Trending Farewells,45,40,30,15,15,25,5,10
Slováci a Slovenky,20,15,15,15,15,15,15,15
Ako?,140,15,20,15,135,15,20,15
Kedy?,30,30,20,10,20,20,20,10
Najbolj priljubljena iskanja,340,85,55,15,20,15,25,15
South African Personalities,15,5,5,5,5,5,5,5
스포츠,25,5,5,5,10,5,20,5
TV y Series,135,110,20,5,105,5,110,5
Vad?,60,45,20,30,20,20,10,10
Varför?,15,15,15,10,10,15,10,10
Årets mest trendande sökningar 2018,25,15,10,15,15,10,10,10
Aufreger und Skandale,75,45,20,10,45,10,15,5
Schweizer Events,65,25,35,10,10,15,20,10
ทีมฟุตบอล,20,20,10,10,20,10,5,10
ราคา,55,45,15,45,10,15,5,15
ร้าน,35,10,10,5,5,5,10,5
Fashion Brands,65,45,35,15,25,30,5,10
Fashion Searches,135,110,5,105,10,5,25,105
Who...?,45,30,20,20,10,20,10,20
World Cup Teams,70,60,25,20,15,25,20,5
Cómo... ?,30,20,10,5,10,10,10,5
Dónde...?,55,5,15,5,5,5,5,5
Qué es...?,30,20,10,10,5,10,10,5
Xu Hướng Tìm Kiếm Nổi Bật,30,25,20,10,15,20,15,10
10 Tin Tức Sự Kiện Nổi Bật,45,20,30,10,5,5,5,10
Bài Hát,20,10,5,10,5,5,15,5
Phim Truyện Trong Nước,15,15,5,15,15,5,5,5
Cách Làm,55,45,30,15,20,30,5,10
Du Lịch,20,15,15,15,20,10,10,10
Thiết Bị Điện Tử,60,60,5,40,5,5,45,40
Passings,145,120,20,115,20,20,15,15
Búsquedas 2019,20,20,15,20,20,15,15,20
Partidos de fútbol,45,30,25,20,20,20,15,20
Aussie Public Figures,30,30,5,5,10,5,10,5
How to…?,80,65,50,10,15,50,20,5
Aufreger & Schicksale Österreich,45,25,30,15,20,15,5,15
Chronik International,35,25,25,5,5,20,10,5
Technik-Trends,105,105,10,95,100,10,5,5
Was...?,30,20,15,5,15,15,25,5
Wie...?,65,45,30,25,40,30,15,25
Персона,50,15,15,10,10,15,15,10
Фильм,60,45,10,15,15,5,10,10
Сериал,35,30,35,25,5,30,10,15
ТВ-шоу,60,30,15,30,15,15,30,20
Wat is...,60,35,30,10,5,30,30,5
Buscas do ano,20,15,10,10,10,10,15,10
O que é,45,30,15,25,10,15,15,20
Como fazer,20,20,10,10,20,10,10,10
Programas de TV/Novelas,60,30,35,15,5,5,5,5
Shows,25,15,15,10,10,10,5,10
Times de Futebol,105,35,30,5,65,30,5,5
Изпълнители,150,35,10,15,15,10,105,5
Личности,40,20,20,15,15,15,15,10
Български реалити формати и сериали,25,10,15,10,5,10,5,5
Who...,15,15,15,5,5,15,5,5
Musicians & Bands,60,30,30,5,5,30,5,5
Toronto Raptors' Players,120,115,85,20,5,80,10,5
Tendencias 2019,70,30,60,25,25,25,25,25
Quién es,125,80,40,45,10,40,25,10
Tendencias del año,355,310,20,310,10,5,30,310
"Novelas, Series y Programas TV",20,15,10,15,10,10,10,10
¿Qué es?,85,50,60,50,30,50,50,20
Los que se fueron en 2019,25,20,10,10,15,5,5,5
Series / Novelas / Programas TV,30,15,20,15,15,15,30,15
Mujeres,50,50,45,45,5,45,5,20
Najtraženiji pojmovi u Hrvatskoj,120,115,20,20,15,20,10,15
Sportska događanja,35,35,15,30,10,15,20,20
Reality show,10,10,5,5,5,5,5,5
Události,105,30,25,25,20,10,5,10
České seriály,40,15,15,5,10,10,25,5
Jídlo,45,10,10,10,5,10,15,5
Sportovní události,35,35,20,25,5,20,5,10
Bedste...,25,15,15,15,10,10,20,15
Mest trendende søgninger,15,10,10,10,10,10,15,10
Steder,40,30,35,5,30,30,5,5
أبحاث عامة,30,10,20,10,10,10,15,10
TOP 10 otsituimat inimest,25,5,15,5,5,5,5,5
Uutiset,150,10,140,10,10,10,10,10
Les musiciens / chanteurs & chanteuses,15,10,10,10,10,5,10,10
Politische Schlagzeilen,35,15,15,5,5,10,15,5
Sportler,55,30,15,10,5,10,25,5
Αθλητικά,20,15,10,10,10,10,5,10
Ερωτήσεις 'Τι είναι',35,15,10,15,10,5,5,15
Τηλεοπτικές Εκπομπές,60,20,35,15,15,15,15,10
Actores y actrices,30,25,5,15,15,5,5,15
Sorozatok,65,45,15,30,30,15,10,10
Könyvek,70,45,25,25,10,15,15,15
Fesztiválok,20,20,10,10,10,10,10,5
Telefontípusok,25,10,15,10,10,10,5,10
Diéta,50,25,15,25,15,10,10,10
Apa itu...,20,20,10,20,15,10,10,20
Bagaimana cara...,125,15,15,15,10,15,10,15
אירועים בחדשות,5,5,5,5,5,5,5,5
סדרות,30,25,10,25,10,10,10,20
ריאליטי,35,20,20,20,5,10,5,10
Fai-da-te,70,5,50,5,5,5,5,5
令和,355,45,20,25,15,15,30,10
話題の映画,35,15,10,10,10,10,5,10
ラグビー選手,40,20,20,5,15,5,5,5
話題の夜景スポット,30,5,5,5,5,5,5,5
Ең көп сұралған тақырыптар/ Самые популярные запросы,20,10,10,5,5,5,5,5
Көп ізделген тұлғалар/ Персона года,50,35,25,10,10,25,10,10
Көп ізделген фильмдер/Фильм года,70,25,20,5,5,20,15,5
Көп ізделген сериалдар/Сериал года,30,10,10,5,15,10,5,5
Көп жасалған сауда-саттық/Покупка года,15,5,15,5,10,5,5,5
... дегеніміз не?/Что такое?,20,5,15,5,20,5,10,5
Trending How To (General),35,20,10,15,25,10,15,10
Trending How To (Tech),65,45,20,45,5,15,5,25
Trending Local Personalities,45,20,10,10,10,10,10,10
Trending Movies & TV Shows,65,55,15,15,45,15,10,15
Trending News,45,40,10,25,5,5,10,10
Populārākie vārdi,75,45,60,15,35,35,5,15
Meklētākie notikumi,60,30,10,15,10,10,5,10
Visvairāk meklētās filmas un TV raidījumi,115,55,15,35,40,10,45,35
Tendencingiausios paieškos,100,30,90,20,15,20,10,20
Renginiai,25,15,10,10,10,5,5,10
Kaip?,20,15,5,10,5,5,10,5
Anapilin išėję žmonės,65,55,55,50,5,45,15,5
Berita,55,35,15,30,25,15,15,25
Gajet,60,15,50,10,20,15,15,10
Sukan,55,20,20,20,10,15,15,20
Resipi,45,20,25,10,10,20,15,10
Programas TV / Series,25,10,5,10,10,5,5,5
Juegos / Apps,195,5,5,5,5,5,5,5
Individuals,45,10,15,5,10,5,5,5
Movies & Series,60,25,20,15,25,20,10,10
Artiesten,15,5,5,5,5,5,5,5
Wat betekent...?,50,50,50,50,50,50,5,50
Sporters,20,15,10,10,5,10,5,5
Songteksten,100,95,10,90,5,10,5,5
Stories,70,50,10,20,25,10,25,5
Trending questions (What is...),55,25,25,20,25,5,5,5
Trending questions (How to...),60,10,20,5,30,5,10,5
Music Artistes,30,10,10,5,15,10,5,5
Sports People,10,10,5,10,10,5,10,10
Hvordan...,70,35,35,35,10,35,10,15
Hvem...,75,45,20,35,5,10,10,15
Hva...,15,10,10,10,10,10,10,10
TV & film,30,20,5,15,5,5,5,15
De som gikk bort,20,15,15,15,10,15,5,5
Movies & TV,45,25,25,10,25,25,10,10
Co to jest... ?,20,10,15,5,5,10,5,5
O que...?,25,20,15,15,15,10,15,15
Cantantes y grupos,45,35,10,25,5,10,25,5
Cum să/se,15,5,5,5,5,5,5,5
Кто такой(-ая)?,50,15,40,10,5,5,10,10
Книги,10,10,10,5,10,10,5,5
Сериалы,15,15,10,15,10,10,10,10
С чем (как) носить...?,70,50,40,35,15,40,5,20
Что посмотреть в...?,55,30,5,5,30,5,5,5
Свадьбы,30,20,10,10,15,10,5,5
Как правильно...? (ЗОЖ),10,10,5,5,5,5,10,5
Trending International News,105,20,15,15,90,15,15,10
Trending Singapore News,15,15,10,15,15,10,10,10
Trending Sports Events,35,35,5,5,30,5,5,5
Trending TV Shows,10,10,10,10,10,10,10,10
Udalosti,95,35,60,35,55,5,5,5
Top trending 'Near Me' searches,20,15,5,10,5,5,10,5
Top trending movies,20,10,15,5,5,10,5,5
Top trending musical personalities,45,35,10,35,10,5,10,35
Top trending political figures and parties,35,10,10,10,5,10,10,10
Top trending questions,50,20,50,10,10,20,10,10
Top trending recipes,25,25,10,20,10,10,15,15
Top trending South African personalities,655,10,630,10,10,10,20,10
Top trending sports searches,60,45,40,35,15,35,25,15
국내 종합,40,35,5,5,10,5,10,5
인물 및 펭귄,70,45,25,25,10,15,10,15
Deportes y deportistas,35,20,10,20,20,5,5,10
"Cine, televisión y series",75,60,60,10,5,55,5,5
¿Cuándo...?,30,20,15,10,10,5,5,5
Gått bort,30,25,15,25,10,10,10,20
Hundraser,5,5,5,5,5,5,5,5
Hur,5,5,5,5,5,5,5,5
Mat och dryck,55,15,15,5,5,15,5,5
Nyheter och händelser,35,5,5,5,5,5,5,5
Vad,15,5,5,5,5,5,15,5
Varför,55,15,25,10,10,5,25,5
Årets mest trendande sökningar 2019,55,20,20,5,25,20,15,5
Schlagzeilen Schweiz,20,15,15,5,5,10,5,5
Persönlichkeiten Schweiz,55,50,15,50,10,15,45,10
Rezepte,40,5,20,5,5,5,25,5
快速竄升戲劇,70,50,30,35,20,10,50,15
ร้านค้า,170,170,165,105,65,165,5,105
วิธี,55,35,15,30,30,10,10,10
Genel,25,20,10,20,5,10,5,15
Втрати,135,35,15,25,15,15,25,25
Фільм,35,30,10,30,10,10,10,30
Серіал,30,10,15,10,15,10,10,10
Питання:  “Що таке?/Что такое?”,155,50,40,5,110,35,20,5
General Searches,25,10,5,5,10,5,5,5
Babies,30,20,15,15,10,15,10,15
Fashion Style searches,15,5,10,5,10,5,5,5
